Date de début,Date de fin,Organisme,code zas,Zas,code site,nom site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR35004,BRIVE - Dalton,Urbaine,NO2,Fond,Oui,mesures fixes,Moy. annuelle,11.0,11.461253034331309,µg-m3,99.0,99.0,99.0,R,1,45.158738,1.537259
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR35005,GUERET - Nicolas,Urbaine,NO2,Fond,Oui,mesures fixes,Moy. annuelle,10.0,9.640386985457228,µg-m3,93.0,100.0,93.0,R,1,46.17362,1.873024
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR35006,TULLE - Hugo,Urbaine,NO2,Fond,Oui,mesures fixes,Moy. annuelle,10.0,9.556822928753764,µg-m3,98.0,100.0,98.0,R,1,45.262665,1.762752
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZAR01,ZAR LIMOGES,FR35010,LIMOGES - Aine,Urbaine,NO2,Trafic,Oui,mesures fixes,Moy. annuelle,22.0,22.473440223074263,µg-m3,98.0,100.0,98.0,R,1,45.829975,1.254772
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR35019,SAILLAT - Ipaper,Rurale près des villes,NO2,Industrielle,Oui,mesures fixes,Moy. annuelle,5.0,5.4437602243514975,µg-m3,98.0,100.0,98.0,R,1,45.875834,0.823951
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZAR01,ZAR LIMOGES,FR35027,LIMOGES - BERLAND,Urbaine,NO2,Fond,Oui,mesures fixes,Moy. annuelle,14.0,13.812672811060011,µg-m3,99.0,100.0,99.0,R,1,45.842204,1.259689
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR02,ZAR VALLEE-DU-RHONE,FR36001,Valence Périurb. Sud,Périurbaine,NO2,Fond,Oui,mesures indicatives,Moy. annuelle,13.0,12.595988372093045,µg-m3,,,,R,1,44.870243,4.876289
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR02,ZAR VALLEE-DU-RHONE,FR36002,Valence Urb. Centre,Urbaine,NO2,Fond,Oui,mesures fixes,Moy. annuelle,17.0,16.59705177372965,µg-m3,97.0,98.0,95.0,R,1,44.933514,4.893481
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR02,ZAR VALLEE-DU-RHONE,FR36019,Romans-sur-Isère,Urbaine,NO2,Fond,Oui,mesures indicatives,Moy. annuelle,13.0,12.55693638194527,µg-m3,,,,R,1,45.0425,5.0443
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR36021,Drôme Rurale Sud-SND,Rurale nationale,NO2,Fond,Oui,mesures fixes,Moy. annuelle,2.0,1.642562220438119,µg-m3,100.0,100.0,100.0,R,1,44.569443,5.278972
